"","UID","iso2","iso3","code3","FIPS","Admin2","Province_State","Country_Region","Lat","Long_","Combined_Key","latStation","longStation","usaf","wban","station"
"22",84001043,"US","USA",840,1043,"Cullman","Alabama","US",34.13020303,-86.86888037,"Cullman, Alabama, US",34.195,-86.796,"999999","63867","CULLMAN 3 ENE"
"23",84001045,"US","USA",840,1045,"Dale","Alabama","US",31.43037123,-85.61095742,"Dale, Alabama, US",31.35,-85.667,"722238","63873","HANCHEY ARMY HELIPORT (FORT RUCKER)"
"24",84001047,"US","USA",840,1047,"Dallas","Alabama","US",32.32688101,-87.1086671,"Dallas, Alabama, US",32.344,-86.988,"722266","99999","CRAIG FLD"
"25",84001049,"US","USA",840,1049,"DeKalb","Alabama","US",34.45946862,-85.80782906,"DeKalb, Alabama, US",34.474,-85.721,"A00013","63847","ISBELL FIELD AIRPORT"
"26",84001051,"US","USA",840,1051,"Elmore","Alabama","US",32.59785413,-86.14415284,"Elmore, Alabama, US",32.383,-86.35,"722265","13821","MAXWELL AFB AIRPORT"
"27",84001053,"US","USA",840,1053,"Escambia","Alabama","US",31.1256789,-87.15918694,"Escambia, Alabama, US",31.145,-87.052,"999999","63899","BREWTON 3 NNE"
"28",84001055,"US","USA",840,1055,"Etowah","Alabama","US",34.04567266,-86.04051873,"Etowah, Alabama, US",33.967,-86.083,"722285","03896","GADSDEN MUNICIPAL AIRPORT"
"29",84001057,"US","USA",840,1057,"Fayette","Alabama","US",33.72076938,-87.73886638,"Fayette, Alabama, US",33.902,-87.314,"720505","00156","WALKER COUNTY AIRPORT BEVILL FIELD"
"30",84001059,"US","USA",840,1059,"Franklin","Alabama","US",34.44235334,-87.84289505,"Franklin, Alabama, US",34.454,-87.71,"999999","63895","RUSSELLVILLE 4 SSE"
"31",84001061,"US","USA",840,1061,"Geneva","Alabama","US",31.09389027,-85.83572839,"Geneva, Alabama, US",31.267,-85.717,"722269","03850","CAIRNS ARMY AIRFIELD (FORT RUCKER)"
"32",84001063,"US","USA",840,1063,"Greene","Alabama","US",32.85504247,-87.95684022,"Greene, Alabama, US",32.837,-88.137,"999999","63892","GAINESVILLE 2 NE"
"33",84001065,"US","USA",840,1065,"Hale","Alabama","US",32.76039258,-87.63284988,"Hale, Alabama, US",32.717,-87.623,"999999","63893","GREENSBORO 2 WNW"
"34",84001067,"US","USA",840,1067,"Henry","Alabama","US",31.51148016,-85.24267944,"Henry, Alabama, US",31.317,-85.45,"722268","13839","DOTHAN REGIONAL AIRPORT"
"35",84001069,"US","USA",840,1069,"Houston","Alabama","US",31.15197924,-85.29939599,"Houston, Alabama, US",31.317,-85.45,"722268","13839","DOTHAN REGIONAL AIRPORT"
"36",84001071,"US","USA",840,1071,"Jackson","Alabama","US",34.78144169,-85.99750489,"Jackson, Alabama, US",34.694,-86,"999999","63896","SCOTTSBORO 2 NE"
"37",84001073,"US","USA",840,1073,"Jefferson","Alabama","US",33.55554728,-86.895063,"Jefferson, Alabama, US",33.566,-86.745,"722280","13876","BIRMINGHAM INTERNATIONAL AIRPORT"
"38",84001075,"US","USA",840,1075,"Lamar","Alabama","US",33.77995024,-88.09668032,"Lamar, Alabama, US",33.65,-88.45,"723306","13825","COLUMBUS AFB AIRPORT"
"39",84001077,"US","USA",840,1077,"Lauderdale","Alabama","US",34.90171875,-87.65624729,"Lauderdale, Alabama, US",34.773,-87.64,"999999","63894","MUSCLE SHOALS 2 N"
"40",84001079,"US","USA",840,1079,"Lawrence","Alabama","US",34.52041498,-87.31069453,"Lawrence, Alabama, US",34.66,-87.346,"999999","63868","COURTLAND 2 WSW"
"41",84001081,"US","USA",840,1081,"Lee","Alabama","US",32.60154883,-85.35132246,"Lee, Alabama, US",32.616,-85.433,"722284","03892","ABRN-OPLKA R G PITTS ARPT"
"42",84001083,"US","USA",840,1083,"Limestone","Alabama","US",34.81185586,-86.98310072,"Limestone, Alabama, US",34.653,-86.945,"722279","53852","PRYOR FIELD REGIONAL ARPT"
"43",84001085,"US","USA",840,1085,"Lowndes","Alabama","US",32.1597283,-86.65158371,"Lowndes, Alabama, US",32.3,-86.408,"722260","13895","MONTGOMERY  RGNL (DANNELLY FD) AP"
"44",84001087,"US","USA",840,1087,"Macon","Alabama","US",32.38759944,-85.69267724,"Macon, Alabama, US",32.616,-85.433,"722284","03892","ABRN-OPLKA R G PITTS ARPT"
"45",84001089,"US","USA",840,1089,"Madison","Alabama","US",34.76327133,-86.55069633,"Madison, Alabama, US",34.861,-86.557,"720307","63804","MADISON CO EXECUTIVE ARPT"
"46",84001091,"US","USA",840,1091,"Marengo","Alabama","US",32.24767634,-87.78796182,"Marengo, Alabama, US",32.464,-87.954,"A51255","00445","DEMOPOLIS MUNICIPAL AIRPORT"
"47",84001093,"US","USA",840,1093,"Marion","Alabama","US",34.13697363,-87.88704173,"Marion, Alabama, US",34.267,-87.6,"720413","00138","POSEY FIELD AIRPORT"
"48",84001095,"US","USA",840,1095,"Marshall","Alabama","US",34.36975964,-86.30486727,"Marshall, Alabama, US",34.229,-86.256,"720376","63880","THE ALBERTVILLE MUNI ARPT-THOMAS J BRUMLIK FLD"
"49",84001097,"US","USA",840,1097,"Mobile","Alabama","US",30.78472347,-88.20842409,"Mobile, Alabama, US",30.688,-88.246,"722230","13894","MOBILE REGIONAL AIRPORT"
"50",84001099,"US","USA",840,1099,"Monroe","Alabama","US",31.56729412,-87.36995001,"Monroe, Alabama, US",31.416,-87.044,"722276","53820","MIDDLETON FIELD AIRPORT"
"51",84001101,"US","USA",840,1101,"Montgomery","Alabama","US",32.2206831,-86.20969272,"Montgomery, Alabama, US",32.3,-86.408,"722260","13895","MONTGOMERY  RGNL (DANNELLY FD) AP"
"52",84001103,"US","USA",840,1103,"Morgan","Alabama","US",34.45500589,-86.85475946,"Morgan, Alabama, US",34.269,-86.858,"722031","63839","FOLSOM FIELD AP"
"53",84080001,"US","USA",840,80001,"Out of AL","Alabama","US",0,0,"Out of AL, Alabama, US",0,0,"538660","99999","BOGUS CHINESE"
"54",84001105,"US","USA",840,1105,"Perry","Alabama","US",32.64048341,-87.29770589,"Perry, Alabama, US",32.457,-87.242,"999999","63858","SELMA 13 WNW"
"55",84001107,"US","USA",840,1107,"Pickens","Alabama","US",33.28094866,-88.08818103,"Pickens, Alabama, US",33.212,-87.616,"722286","93806","TUSCALOOSA MUNICIPAL ARPT"
"56",84001109,"US","USA",840,1109,"Pike","Alabama","US",31.80396383,-85.9408295,"Pike, Alabama, US",31.79,-86,"999999","23801","TROY 2 W"
"57",84001111,"US","USA",840,1111,"Randolph","Alabama","US",33.29526734,-85.45708831,"Randolph, Alabama, US",33.633,-85.15,"720674","00249","WEST GEORGIA REGIONAL AIRPORT O V GRAY FIELD"
"58",84001113,"US","USA",840,1113,"Russell","Alabama","US",32.28725256,-85.18415324,"Russell, Alabama, US",32.35,-85,"722250","13829","LAWSON AAF AIRPORT"
"59",84001117,"US","USA",840,1117,"Shelby","Alabama","US",33.26879845,-86.66232561,"Shelby, Alabama, US",33.178,-86.782,"722300","53864","SHELBY COUNTY AIRPORT"
"60",84001115,"US","USA",840,1115,"St. Clair","Alabama","US",33.71902176,-86.31029372,"St. Clair, Alabama, US",33.572,-86.057,"999999","73803","TALLADEGA 10 NNE"
"61",84001119,"US","USA",840,1119,"Sumter","Alabama","US",32.59117397,-88.19916205,"Sumter, Alabama, US",32.464,-87.954,"A51255","00445","DEMOPOLIS MUNICIPAL AIRPORT"
"62",84001121,"US","USA",840,1121,"Talladega","Alabama","US",33.37823223,-86.16886178,"Talladega, Alabama, US",33.572,-86.057,"999999","73803","TALLADEGA 10 NNE"
"63",84001123,"US","USA",840,1123,"Tallapoosa","Alabama","US",32.86698258,-85.79833053,"Tallapoosa, Alabama, US",32.915,-85.963,"720265","63833","THOMAS C RUSSELL FLD ARPT"
"64",84001125,"US","USA",840,1125,"Tuscaloosa","Alabama","US",33.28726072,-87.52556818,"Tuscaloosa, Alabama, US",33.213,-87.591,"999999","73801","NORTHPORT 2 S"
"65",84090001,"US","USA",840,90001,"Unassigned","Alabama","US",0,0,"Unassigned, Alabama, US",0,0,"538660","99999","BOGUS CHINESE"
"66",84001127,"US","USA",840,1127,"Walker","Alabama","US",33.80270512,-87.30027177,"Walker, Alabama, US",33.902,-87.314,"720505","00156","WALKER COUNTY AIRPORT BEVILL FIELD"
"67",84001129,"US","USA",840,1129,"Washington","Alabama","US",31.4092794,-88.20689944,"Washington, Alabama, US",31.881,-87.737,"999999","23802","THOMASVILLE 2 S"
"68",84001131,"US","USA",840,1131,"Wilcox","Alabama","US",31.98773215,-87.30891118,"Wilcox, Alabama, US",31.881,-87.737,"999999","23802","THOMASVILLE 2 S"
"69",84001133,"US","USA",840,1133,"Winston","Alabama","US",34.15030532,-87.37325922,"Winston, Alabama, US",34.267,-87.6,"720413","00138","POSEY FIELD AIRPORT"
"70",84002013,"US","USA",840,2013,"Aleutians East","Alaska","US",55.32222414,-161.9722021,"Aleutians East, Alaska, US",55.17,-162.27,"703059","99999","KING COVE"
"71",84002016,"US","USA",840,2016,"Aleutians West","Alaska","US",52.3233,-174.1596,"Aleutians West, Alaska, US",52.233,-174.167,"998224","99999","ATKA"
"72",84002020,"US","USA",840,2020,"Anchorage","Alaska","US",61.14998174,-149.1426986,"Anchorage,Alaska,US",61.266,-149.653,"702700","00489","BRYANT ARMY AIRFIELD HELIPORT"
"73",84002050,"US","USA",840,2050,"Bethel","Alaska","US",60.90980451,-159.8561831,"Bethel, Alaska, US",61.536,-160.341,"703052","26652","KALSKAG AIRPORT"
"74",84002060,"US","USA",840,2060,"Bristol Bay","Alaska","US",58.74513976,-156.701064,"Bristol Bay, Alaska, US",58.683,-156.656,"703260","25503","KING SALMON AIRPORT"
"75",84002164,"US","USA",840,2164,"Bristol Bay plus Lake and Peninsula","Alaska","US",58.62403337,-156.2140589,"Bristol Bay plus Lake and Peninsula, Alaska, US",58.683,-156.656,"703260","25503","KING SALMON AIRPORT"
"76",84002068,"US","USA",840,2068,"Denali","Alaska","US",63.67264044,-150.0076108,"Denali, Alaska, US",63.452,-150.875,"999999","96408","DENALI 27 N"
"77",84002070,"US","USA",840,2070,"Dillingham","Alaska","US",59.79603738,-158.2381942,"Dillingham, Alaska, US",59.733,-157.267,"703925","00112","KOLIGANEK AIRPORT"
"78",84002090,"US","USA",840,2090,"Fairbanks North Star","Alaska","US",64.80726247,-146.5692662,"Fairbanks North Star,Alaska,US",64.683,-147.083,"702650","26407","EIELSON AFB AIRPORT"
"79",84002100,"US","USA",840,2100,"Haines","Alaska","US",59.09893571,-135.4679843,"Haines, Alaska, US",59.243,-135.509,"703626","25323","HAINES"
"80",84002105,"US","USA",840,2105,"Hoonah-Angoon","Alaska","US",58.29307365,-135.6424424,"Hoonah-Angoon, Alaska, US",58.411,-135.709,"703670","25322","GUSTAVUS"
"81",84002110,"US","USA",840,2110,"Juneau","Alaska","US",58.45031811,-134.200436,"Juneau, Alaska, US",58.298,-134.412,"998261","99999","JUNEAU"
"82",84002122,"US","USA",840,2122,"Kenai Peninsula","Alaska","US",60.24429722,-151.5388884,"Kenai Peninsula,Alaska,US",60.476,-151.034,"702595","26559","SOLDOTNA AIRPORT"
"83",84002130,"US","USA",840,2130,"Ketchikan Gateway","Alaska","US",55.57445008,-130.975561,"Ketchikan Gateway, Alaska, US",55.333,-131.625,"998258","99999","KETCHIKAN"
"84",84002150,"US","USA",840,2150,"Kodiak Island","Alaska","US",57.65529415,-153.7493579,"Kodiak Island, Alaska, US",57.73,-152.514,"998427","99999","KODIAK ISLAND"
"85",84002158,"US","USA",840,2158,"Kusilvak","Alaska","US",62.1542916,-163.3967883,"Kusilvak, Alaska, US",62.062,-163.3,"702005","26647","ST MARY'S AIRPORT"
"86",84002170,"US","USA",840,2170,"Matanuska-Susitna","Alaska","US",62.31305045,-149.5741743,"Matanuska-Susitna,Alaska,US",62.32,-150.095,"702510","26528","TALKEETNA AIRPORT"
"87",84002180,"US","USA",840,2180,"Nome","Alaska","US",64.90320724,-164.0353804,"Nome, Alaska, US",64.689,-163.413,"702004","99999","WHITE MOUNTAIN"
"88",84002185,"US","USA",840,2185,"North Slope","Alaska","US",69.31479216,-153.4836093,"North Slope, Alaska, US",68.485,-155.751,"999999","26564","IVOTUK 1 NNE"
"89",84002188,"US","USA",840,2188,"Northwest Arctic","Alaska","US",67.04919196,-159.7503946,"Northwest Arctic, Alaska, US",66.983,-160.433,"701196","00102","BOB BARKER MEMORIAL AIRPORT"
"90",84080002,"US","USA",840,80002,"Out of AK","Alaska","US",0,0,"Out of AK, Alaska, US",0,0,"538660","99999","BOGUS CHINESE"
"91",84002195,"US","USA",840,2195,"Petersburg","Alaska","US",57.13978948,-132.9540995,"Petersburg, Alaska, US",56.806,-132.937,"703860","25329","JAMES A JOHNSON AIRPORT"
"92",84002198,"US","USA",840,2198,"Prince of Wales-Hyder","Alaska","US",55.76261984,-133.0511621,"Prince of Wales-Hyder, Alaska, US",55.58,-133.075,"703894","25367","KLAWOCK AIRPORT"
"93",84002220,"US","USA",840,2220,"Sitka","Alaska","US",57.24124555,-135.3206587,"Sitka, Alaska, US",57.057,-135.327,"999999","25379","SITKA 1 NE"
"94",84002230,"US","USA",840,2230,"Skagway","Alaska","US",59.56149996,-135.3337748,"Skagway, Alaska, US",59.456,-135.324,"703620","25335","SKAGWAY AIRPORT"
"95",84002240,"US","USA",840,2240,"Southeast Fairbanks","Alaska","US",63.87692095,-143.2127643,"Southeast Fairbanks, Alaska, US",62.962,-141.988,"702910","26412","NORTHWAY AIRPORT"
"96",84090002,"US","USA",840,90002,"Unassigned","Alaska","US",0,0,"Unassigned, Alaska, US",0,0,"538660","99999","BOGUS CHINESE"
"97",84002261,"US","USA",840,2261,"Valdez-Cordova","Alaska","US",61.47502768,-144.7126799,"Valdez-Cordova, Alaska, US",62.159,-145.459,"702710","26425","GULKANA AIRPORT"
"98",84002275,"US","USA",840,2275,"Wrangell","Alaska","US",56.3202004,-132.0583731,"Wrangell, Alaska, US",56.473,-132.387,"703870","25338","WRANGELL AIRPORT"
"99",84002282,"US","USA",840,2282,"Yakutat","Alaska","US",59.8909808,-140.3601451,"Yakutat, Alaska, US",59.548,-139.733,"998432","99999","YAKUTAT"
"100",84002290,"US","USA",840,2290,"Yukon-Koyukuk","Alaska","US",65.50815459,-151.3907387,"Yukon-Koyukuk, Alaska, US",65.175,-152.107,"701780","26529","RALPH M CALHOUN MEML ARPT"
"101",16,"AS","ASM",16,60,NA,"American Samoa","US",-14.271,-170.132,"American Samoa, US",-14.28,-170.7,"997699","99999","PAGO PAGO"
"102",84004001,"US","USA",840,4001,"Apache","Arizona","US",35.39465006,-109.4892383,"Apache, Arizona, US",35.658,-109.061,"722764","03029","WINDOW ROCK AIRPORT"
"103",84004003,"US","USA",840,4003,"Cochise","Arizona","US",31.87934684,-109.7516088,"Cochise, Arizona, US",31.458,-109.606,"722720","93026","BISBEE DOUGLAS INTL ARPT"
"104",84004005,"US","USA",840,4005,"Coconino","Arizona","US",35.83883429,-111.7707178,"Coconino, Arizona, US",35.946,-112.155,"723783","03195","GRAND CANYON NATL PARK APT"
"105",84004007,"US","USA",840,4007,"Gila","Arizona","US",33.80190085,-110.8132779,"Gila, Arizona, US",34.257,-111.339,"723745","00374","PAYSON AIRPORT"
"106",84004009,"US","USA",840,4009,"Graham","Arizona","US",32.93166885,-109.8882178,"Graham, Arizona, US",32.855,-109.635,"722747","93084","SAFFORD REGIONAL AIRPORT"
"107",84004011,"US","USA",840,4011,"Greenlee","Arizona","US",33.21498827,-109.2405279,"Greenlee, Arizona, US",32.855,-109.635,"722747","93084","SAFFORD REGIONAL AIRPORT"
"108",84004012,"US","USA",840,4012,"La Paz","Arizona","US",33.72854224,-113.9810029,"La Paz, Arizona, US",33.619,-114.714,"747188","23158","BLYTHE AIRPORT"
"109",84004013,"US","USA",840,4013,"Maricopa","Arizona","US",33.34835867,-112.4918154,"Maricopa, Arizona, US",33.417,-112.383,"722788","03186","PHOENIX GOODYEAR AIRPORT"
"110",84004015,"US","USA",840,4015,"Mohave","Arizona","US",35.70471703,-113.7577902,"Mohave, Arizona, US",35.258,-113.933,"723700","93167","KINGMAN AIRPORT"
"111",84004017,"US","USA",840,4017,"Navajo","Arizona","US",35.3997715,-110.3218983,"Navajo, Arizona, US",35.028,-110.721,"723740","23194","WINSLOW-LINDBERGH REGIONAL AIRPORT"
"112",84080004,"US","USA",840,80004,"Out of AZ","Arizona","US",0,0,"Out of AZ, Arizona, US",0,0,"538660","99999","BOGUS CHINESE"
"113",84004019,"US","USA",840,4019,"Pima","Arizona","US",32.0971334,-111.7890033,"Pima, Arizona, US",32.15,-111.167,"720339","00121","RYAN FIELD AIRPORT"
"114",84004021,"US","USA",840,4021,"Pinal","Arizona","US",32.90525627,-111.3449483,"Pinal, Arizona, US",32.936,-111.427,"749173","99999","COOLIDGE MUNI"
"115",84004023,"US","USA",840,4023,"Santa Cruz","Arizona","US",31.52508998,-110.8479088,"Santa Cruz, Arizona, US",31.421,-110.846,"722728","03196","NOGALES INTERNATIONAL ARPT"
"116",84090004,"US","USA",840,90004,"Unassigned","Arizona","US",0,0,"Unassigned, Arizona, US",0,0,"538660","99999","BOGUS CHINESE"
"117",84004025,"US","USA",840,4025,"Yavapai","Arizona","US",34.59933926,-112.5538588,"Yavapai, Arizona, US",34.652,-112.421,"723723","23184","ERNEST A. LOVE FIELD ARPT"
"118",84004027,"US","USA",840,4027,"Yuma","Arizona","US",32.76895712,-113.9066674,"Yuma, Arizona, US",32.835,-114.188,"999999","53154","YUMA 27 ENE"
"119",84005001,"US","USA",840,5001,"Arkansas","Arkansas","US",34.29145151,-91.37277296,"Arkansas, Arkansas, US",34.6,-91.574,"723416","13925","STUTTGART MUNICIPAL ARPT"
"120",84005003,"US","USA",840,5003,"Ashley","Arkansas","US",33.19153461,-91.7698471,"Ashley, Arkansas, US",32.883,-92.117,"999999","53961","MONROE 26 N"
"121",84005005,"US","USA",840,5005,"Baxter","Arkansas","US",36.28784385,-92.33782872,"Baxter, Arkansas, US",36.369,-92.47,"723439","53918","OZARK REGIONAL AIRPORT"
"122",84005007,"US","USA",840,5007,"Benton","Arkansas","US",36.33644656,-94.25680817,"Benton, Arkansas, US",36.35,-94.217,"723444","03978","BENTONVILLE MUNI/LOUIS M THADEN FIELD AIRPORT"
"123",84005009,"US","USA",840,5009,"Boone","Arkansas","US",36.3084504,-93.09374925,"Boone, Arkansas, US",36.267,-93.157,"723450","13971","BOONE COUNTY AIRPORT"
"124",84005011,"US","USA",840,5011,"Bradley","Arkansas","US",33.46755808,-92.15980837,"Bradley, Arkansas, US",33.636,-91.756,"720175","53919","MONTCELO MUNI/ELLIS FLD AP"
"125",84005013,"US","USA",840,5013,"Calhoun","Arkansas","US",33.55598792,-92.49974403,"Calhoun, Arkansas, US",33.617,-92.767,"723425","00373","HARRELL FIELD AIRPORT"
"126",84005015,"US","USA",840,5015,"Carroll","Arkansas","US",36.3403856,-93.54270261,"Carroll, Arkansas, US",36.267,-93.157,"723450","13971","BOONE COUNTY AIRPORT"
"127",84005017,"US","USA",840,5017,"Chicot","Arkansas","US",33.26458973,-91.29539209,"Chicot, Arkansas, US",33.483,-90.985,"747680","13939","MID DELTA REGIONAL AIRPORT"
"128",84005019,"US","USA",840,5019,"Clark","Arkansas","US",34.04613432,-93.17484713,"Clark, Arkansas, US",34.1,-93.066,"720394","00428","DEXTER B FLORENCE MEMORIAL FIELD AIRPORT"
"129",84005021,"US","USA",840,5021,"Clay","Arkansas","US",36.36826212,-90.4148172,"Clay, Arkansas, US",36.226,-90.037,"720331","99999","KENNETT MEM"
"130",84005023,"US","USA",840,5023,"Cleburne","Arkansas","US",35.53864922,-92.02640019,"Cleburne, Arkansas, US",35.82,-91.781,"999999","23904","BATESVILLE 8 WNW"
"131",84005025,"US","USA",840,5025,"Cleveland","Arkansas","US",33.89723187,-92.18537045,"Cleveland, Arkansas, US",34.18,-91.934,"723417","93988","GRIDER FIELD AIRPORT"
"132",84005027,"US","USA",840,5027,"Columbia","Arkansas","US",33.21230701,-93.22642793,"Columbia, Arkansas, US",33.221,-92.814,"723419","93992","S. AR RGNL AT GDWIN FLD AP"
"133",84005029,"US","USA",840,5029,"Conway","Arkansas","US",35.26205537,-92.70506566,"Conway, Arkansas, US",35.258,-93.095,"723429","53920","MUNICIPAL AIRPORT"
"134",84005031,"US","USA",840,5031,"Craighead","Arkansas","US",35.83018283,-90.63235729,"Craighead, Arkansas, US",35.831,-90.646,"723407","03953","JONESBORO MUNICIPAL ARPT"
"135",84005033,"US","USA",840,5033,"Crawford","Arkansas","US",35.58928601,-94.2446814,"Crawford, Arkansas, US",35.333,-94.363,"723440","13964","FORT SMITH REGIONAL AIRPORT"
"136",84005035,"US","USA",840,5035,"Crittenden","Arkansas","US",35.21247318,-90.30839406,"Crittenden, Arkansas, US",35.135,-90.234,"722054","53959","WEST MEMPHIS MUNICIPAL APT"
"137",84005037,"US","USA",840,5037,"Cross","Arkansas","US",35.29631396,-90.77185818,"Cross, Arkansas, US",35.633,-91.167,"720377","13917","NEWPORT MUNI"
"138",84005039,"US","USA",840,5039,"Dallas","Arkansas","US",33.97042763,-92.65167437,"Dallas, Arkansas, US",33.617,-92.767,"723425","00373","HARRELL FIELD AIRPORT"
"139",84005041,"US","USA",840,5041,"Desha","Arkansas","US",33.83011025,-91.25500948,"Desha, Arkansas, US",33.483,-90.985,"747680","13939","MID DELTA REGIONAL AIRPORT"
"140",84005043,"US","USA",840,5043,"Drew","Arkansas","US",33.59035001,-91.71777921,"Drew, Arkansas, US",33.636,-91.756,"720175","53919","MONTCELO MUNI/ELLIS FLD AP"
"141",84005045,"US","USA",840,5045,"Faulkner","Arkansas","US",35.14719007,-92.33717519,"Faulkner, Arkansas, US",34.917,-92.15,"723405","03930","LITTLE ROCK AFB AIRPORT"
"142",84005047,"US","USA",840,5047,"Franklin","Arkansas","US",35.51202821,-93.89299569,"Franklin, Arkansas, US",35.333,-94.363,"723440","13964","FORT SMITH REGIONAL AIRPORT"
"143",84005049,"US","USA",840,5049,"Fulton","Arkansas","US",36.38177105,-91.81729127,"Fulton, Arkansas, US",36.878,-91.903,"723484","53901","WEST PLAINS MUNICIPAL ARPT"
"144",84005051,"US","USA",840,5051,"Garland","Arkansas","US",34.57692074,-93.14921604,"Garland, Arkansas, US",34.29,-93.06,"723415","03962","MEMORIAL FIELD AIRPORT"
"145",84005053,"US","USA",840,5053,"Grant","Arkansas","US",34.29017991,-92.42320562,"Grant, Arkansas, US",34.18,-91.934,"723417","93988","GRIDER FIELD AIRPORT"
"146",84005055,"US","USA",840,5055,"Greene","Arkansas","US",36.1173546,-90.55832668,"Greene, Arkansas, US",35.831,-90.646,"723407","03953","JONESBORO MUNICIPAL ARPT"
"147",84005057,"US","USA",840,5057,"Hempstead","Arkansas","US",33.73325583,-93.66935133,"Hempstead, Arkansas, US",33.456,-93.988,"723418","13977","TEXARKANA REGIONAL AIRPORT-WEBB FIELD"
"148",84005059,"US","USA",840,5059,"Hot Spring","Arkansas","US",34.31709259,-92.95396325,"Hot Spring, Arkansas, US",34.29,-93.06,"723415","03962","MEMORIAL FIELD AIRPORT"
"149",84005061,"US","USA",840,5061,"Howard","Arkansas","US",34.09007427,-93.9934871,"Howard, Arkansas, US",34.05,-94.401,"743312","53925","J.L. HELMS SEVIER CO ARPT"
"150",84005063,"US","USA",840,5063,"Independence","Arkansas","US",35.74242707,-91.57001641,"Independence, Arkansas, US",35.726,-91.647,"723448","53934","BATESVILLE REGIONAL ARPT"
"151",84005065,"US","USA",840,5065,"Izard","Arkansas","US",36.09604046,-91.90847954,"Izard, Arkansas, US",35.82,-91.781,"999999","23904","BATESVILLE 8 WNW"
